,cell_type,sampleID,status
16064,intermediate_CM,RZ_FZ_P5,control
16065,Fib_0,RZ_FZ_P5,control
16066,Fib_SCARA5,RZ_FZ_P5,control
16067,Fib_3,RZ_FZ_P5,control
16068,Arterial_Endo,RZ_FZ_P5,control
16069,Fib_0,RZ_FZ_P5,control
16070,Capillary_Endo,RZ_FZ_P5,control
16071,healthy_CM,RZ_FZ_P5,control
16072,healthy_CM,RZ_FZ_P5,control
16073,damaged_CM,RZ_FZ_P5,control
16074,intermediate_CM,RZ_FZ_P5,control
16075,Fib_0,RZ_FZ_P5,control
16076,vSMCs_2,RZ_FZ_P5,control
16077,intermediate_CM,RZ_FZ_P5,control
16078,Arterial_Endo,RZ_FZ_P5,control
16079,healthy_CM,RZ_FZ_P5,control
16080,healthy_CM,RZ_FZ_P5,control
16081,intermediate_CM,RZ_FZ_P5,control
16082,Capillary_Endo,RZ_FZ_P5,control
16083,Pericyte_1,RZ_FZ_P5,control
16084,Myofib,RZ_FZ_P5,control
16085,Pericyte_1,RZ_FZ_P5,control
16086,intermediate_CM,RZ_FZ_P5,control
16087,Pericyte_1,RZ_FZ_P5,control
16088,Endocardial_Endo,RZ_FZ_P5,control
16089,Pericyte_1,RZ_FZ_P5,control
16090,Arterial_Endo,RZ_FZ_P5,control
16091,Fib_SCARA5,RZ_FZ_P5,control
16092,damaged_CM,RZ_FZ_P5,control
16093,Capillary_Endo,RZ_FZ_P5,control
16094,healthy_CM,RZ_FZ_P5,control
16095,Capillary_Endo,RZ_FZ_P5,control
16096,damaged_CM,RZ_FZ_P5,control
16097,Fib_SCARA5,RZ_FZ_P5,control
16098,Fib_0,RZ_FZ_P5,control
16099,Fib_0,RZ_FZ_P5,control
16100,healthy_CM,RZ_FZ_P5,control
16101,healthy_CM,RZ_FZ_P5,control
16102,healthy_CM,RZ_FZ_P5,control
16103,Capillary_Endo,RZ_FZ_P5,control
16104,Fib_0,RZ_FZ_P5,control
16105,healthy_CM,RZ_FZ_P5,control
16106,Venous_Endo,RZ_FZ_P5,control
16107,Myofib,RZ_FZ_P5,control
16108,Lymphatic_Endo,RZ_FZ_P5,control
16109,Venous_Endo,RZ_FZ_P5,control
16110,Myofib,RZ_FZ_P5,control
16111,intermediate_CM,RZ_FZ_P5,control
16112,Fib_SCARA5,RZ_FZ_P5,control
16113,intermediate_CM,RZ_FZ_P5,control
16114,Capillary_Endo,RZ_FZ_P5,control
16115,Myofib,RZ_FZ_P5,control
16116,intermediate_CM,RZ_FZ_P5,control
16117,healthy_CM,RZ_FZ_P5,control
16118,Myofib,RZ_FZ_P5,control
16119,Fib_0,RZ_FZ_P5,control
16120,Fib_0,RZ_FZ_P5,control
16121,Pericyte_1,RZ_FZ_P5,control
16122,Capillary_Endo,RZ_FZ_P5,control
16123,healthy_CM,RZ_FZ_P5,control
16124,Arterial_Endo,RZ_FZ_P5,control
16125,healthy_CM,RZ_FZ_P5,control
16126,Myofib,RZ_FZ_P5,control
16127,Endocardial_Endo,RZ_FZ_P5,control
16128,healthy_CM,RZ_FZ_P5,control
16129,Arterial_Endo,RZ_FZ_P5,control
16130,Capillary_Endo,RZ_FZ_P5,control
16131,Arterial_Endo,RZ_FZ_P5,control
16132,Fib_3,RZ_FZ_P5,control
16133,Pericyte_2,RZ_FZ_P5,control
16134,intermediate_CM,RZ_FZ_P5,control
16135,damaged_CM,RZ_FZ_P5,control
16136,Fib_3,RZ_FZ_P5,control
16137,Fib_0,RZ_FZ_P5,control
16138,Capillary_Endo,RZ_FZ_P5,control
16139,Venous_Endo,RZ_FZ_P5,control
16140,Capillary_Endo,RZ_FZ_P5,control
16141,healthy_CM,RZ_FZ_P5,control
16142,Capillary_Endo,RZ_FZ_P5,control
16143,CCL18_Macrophages,RZ_FZ_P5,control
16144,Venous_Endo,RZ_FZ_P5,control
16145,Capillary_Endo,RZ_FZ_P5,control
16146,Pericyte_1,RZ_FZ_P5,control
16147,Arterial_Endo,RZ_FZ_P5,control
16148,intermediate_CM,RZ_FZ_P5,control
16149,Fib_SCARA5,RZ_FZ_P5,control
16150,intermediate_CM,RZ_FZ_P5,control
16151,Myofib,RZ_FZ_P5,control
16152,Fib_0,RZ_FZ_P5,control
16153,healthy_CM,RZ_FZ_P5,control
16154,Arterial_Endo,RZ_FZ_P5,control
16155,damaged_CM,RZ_FZ_P5,control
16156,Myofib,RZ_FZ_P5,control
16157,healthy_CM,RZ_FZ_P5,control
16158,Myofib,RZ_FZ_P5,control
16159,healthy_CM,RZ_FZ_P5,control
16160,intermediate_CM,RZ_FZ_P5,control
16161,Venous_Endo,RZ_FZ_P5,control
16162,Capillary_Endo,RZ_FZ_P5,control
16163,Capillary_Endo,RZ_FZ_P5,control
16164,Arterial_Endo,RZ_FZ_P5,control
16165,Venous_Endo,RZ_FZ_P5,control
16166,Myofib,RZ_FZ_P5,control
16167,Myofib,RZ_FZ_P5,control
16168,Capillary_Endo,RZ_FZ_P5,control
16169,Myofib,RZ_FZ_P5,control
16170,Capillary_Endo,RZ_FZ_P5,control
16171,intermediate_CM,RZ_FZ_P5,control
16172,Pericyte_1,RZ_FZ_P5,control
16173,intermediate_CM,RZ_FZ_P5,control
16174,healthy_CM,RZ_FZ_P5,control
16175,Fib_0,RZ_FZ_P5,control
16176,Arterial_Endo,RZ_FZ_P5,control
16177,Fib_SCARA5,RZ_FZ_P5,control
16178,Myofib,RZ_FZ_P5,control
16179,Pericyte_1,RZ_FZ_P5,control
16180,Fib_0,RZ_FZ_P5,control
16181,Venous_Endo,RZ_FZ_P5,control
16182,healthy_CM,RZ_FZ_P5,control
16183,intermediate_CM,RZ_FZ_P5,control
16184,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16185,intermediate_CM,RZ_FZ_P5,control
16186,Fib_0,RZ_FZ_P5,control
16187,Myofib,RZ_FZ_P5,control
16188,Fib_SCARA5,RZ_FZ_P5,control
16189,intermediate_CM,RZ_FZ_P5,control
16190,Venous_Endo,RZ_FZ_P5,control
16191,intermediate_CM,RZ_FZ_P5,control
16192,Fib_SCARA5,RZ_FZ_P5,control
16193,Capillary_Endo,RZ_FZ_P5,control
16194,intermediate_CM,RZ_FZ_P5,control
16195,Capillary_Endo,RZ_FZ_P5,control
16196,Venous_Endo,RZ_FZ_P5,control
16197,intermediate_CM,RZ_FZ_P5,control
16198,healthy_CM,RZ_FZ_P5,control
16199,Fib_SCARA5,RZ_FZ_P5,control
16200,Fib_0,RZ_FZ_P5,control
16201,Fib_SCARA5,RZ_FZ_P5,control
16202,Fib_3,RZ_FZ_P5,control
16203,CCL18_Macrophages,RZ_FZ_P5,control
16204,healthy_CM,RZ_FZ_P5,control
16205,healthy_CM,RZ_FZ_P5,control
16206,healthy_CM,RZ_FZ_P5,control
16207,Fib_3,RZ_FZ_P5,control
16208,Arterial_Endo,RZ_FZ_P5,control
16209,intermediate_CM,RZ_FZ_P5,control
16210,intermediate_CM,RZ_FZ_P5,control
16211,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16212,Pericyte_1,RZ_FZ_P5,control
16213,Pericyte_1,RZ_FZ_P5,control
16214,Myofib,RZ_FZ_P5,control
16215,Fib_3,RZ_FZ_P5,control
16216,Arterial_Endo,RZ_FZ_P5,control
16217,Capillary_Endo,RZ_FZ_P5,control
16218,Fib_SCARA5,RZ_FZ_P5,control
16219,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16220,Fib_0,RZ_FZ_P5,control
16221,intermediate_CM,RZ_FZ_P5,control
16222,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16223,damaged_CM,RZ_FZ_P5,control
16224,Arterial_Endo,RZ_FZ_P5,control
16225,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16226,Fib_SCARA5,RZ_FZ_P5,control
16227,Fib_0,RZ_FZ_P5,control
16228,Fib_0,RZ_FZ_P5,control
16229,Arterial_Endo,RZ_FZ_P5,control
16230,Myofib,RZ_FZ_P5,control
16231,healthy_CM,RZ_FZ_P5,control
16232,Myofib,RZ_FZ_P5,control
16233,Capillary_Endo,RZ_FZ_P5,control
16234,healthy_CM,RZ_FZ_P5,control
16235,Endocardial_Endo,RZ_FZ_P5,control
16236,Arterial_Endo,RZ_FZ_P5,control
16237,Endocardial_Endo,RZ_FZ_P5,control
16238,intermediate_CM,RZ_FZ_P5,control
16239,Fib_0,RZ_FZ_P5,control
16240,Venous_Endo,RZ_FZ_P5,control
16241,intermediate_CM,RZ_FZ_P5,control
16242,intermediate_CM,RZ_FZ_P5,control
16243,Fib_3,RZ_FZ_P5,control
16244,Capillary_Endo,RZ_FZ_P5,control
16245,Pericyte_1,RZ_FZ_P5,control
16246,healthy_CM,RZ_FZ_P5,control
16247,Fib_SCARA5,RZ_FZ_P5,control
16248,Capillary_Endo,RZ_FZ_P5,control
16249,Fib_SCARA5,RZ_FZ_P5,control
16250,intermediate_CM,RZ_FZ_P5,control
16251,Arterial_Endo,RZ_FZ_P5,control
16252,Venous_Endo,RZ_FZ_P5,control
16253,Capillary_Endo,RZ_FZ_P5,control
16254,Fib_3,RZ_FZ_P5,control
16255,Fib_3,RZ_FZ_P5,control
16256,healthy_CM,RZ_FZ_P5,control
16257,Myofib,RZ_FZ_P5,control
16258,Fib_SCARA5,RZ_FZ_P5,control
16259,Endocardial_Endo,RZ_FZ_P5,control
16260,LYVE_PLTP_Macrophages,RZ_FZ_P5,control
16261,Fib_3,RZ_FZ_P5,control
16262,Myofib,RZ_FZ_P5,control
16263,Endocardial_Endo,RZ_FZ_P5,control
16264,intermediate_CM,RZ_FZ_P5,control
16265,Pericyte_1,RZ_FZ_P5,control
16266,Fib_0,RZ_FZ_P5,control
16267,Fib_SCARA5,RZ_FZ_P5,control
16268,intermediate_CM,RZ_FZ_P5,control
16269,Monocytes,RZ_FZ_P5,control
16270,healthy_CM,RZ_FZ_P5,control
16271,Myofib,RZ_FZ_P5,control
16272,Fib_0,RZ_FZ_P5,control
16273,damaged_CM,RZ_FZ_P5,control
16274,Myofib,RZ_FZ_P5,control
16275,Pericyte_2,RZ_FZ_P5,control
16276,intermediate_CM,RZ_FZ_P5,control
16277,intermediate_CM,RZ_FZ_P5,control
16278,Capillary_Endo,RZ_FZ_P5,control
16279,Pericyte_1,RZ_FZ_P5,control
16280,Myofib,RZ_FZ_P5,control
16281,intermediate_CM,RZ_FZ_P5,control
16282,Capillary_Endo,RZ_FZ_P5,control
16283,intermediate_CM,RZ_FZ_P5,control
16284,Endocardial_Endo,RZ_FZ_P5,control
16285,Capillary_Endo,RZ_FZ_P5,control
16286,Fib_0,RZ_FZ_P5,control
16287,Pericyte_1,RZ_FZ_P5,control
16288,damaged_CM,RZ_FZ_P5,control
16289,healthy_CM,RZ_FZ_P5,control
16290,healthy_CM,RZ_FZ_P5,control
16291,Myofib,RZ_FZ_P5,control
16292,Myofib,RZ_FZ_P5,control
16293,Pericyte_2,RZ_FZ_P5,control
16294,damaged_CM,RZ_FZ_P5,control
16295,Fib_SCARA5,RZ_FZ_P5,control
16296,vSMCs_1,RZ_FZ_P5,control
16297,Pericyte_2,RZ_FZ_P5,control
16298,Fib_SCARA5,RZ_FZ_P5,control
16299,intermediate_CM,RZ_FZ_P5,control
16300,Capillary_Endo,RZ_FZ_P5,control
16301,healthy_CM,RZ_FZ_P5,control
16302,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16303,SPP1_Macrophages,RZ_FZ_P5,control
16304,Myofib,RZ_FZ_P5,control
16305,vCM_3,RZ_FZ_P5,control
16306,Arterial_Endo,RZ_FZ_P5,control
16307,healthy_CM,RZ_FZ_P5,control
16308,intermediate_CM,RZ_FZ_P5,control
16309,intermediate_CM,RZ_FZ_P5,control
16310,Venous_Endo,RZ_FZ_P5,control
16311,healthy_CM,RZ_FZ_P5,control
16312,LYVE_PLTP_Macrophages,RZ_FZ_P5,control
16313,Myofib,RZ_FZ_P5,control
16314,Fib_SCARA5,RZ_FZ_P5,control
16315,damaged_CM,RZ_FZ_P5,control
16316,damaged_CM,RZ_FZ_P5,control
16317,Capillary_Endo,RZ_FZ_P5,control
16318,CCL18_Macrophages,RZ_FZ_P5,control
16319,Pericyte_1,RZ_FZ_P5,control
16320,Capillary_Endo,RZ_FZ_P5,control
16321,Myofib,RZ_FZ_P5,control
16322,Arterial_Endo,RZ_FZ_P5,control
16323,Myofib,RZ_FZ_P5,control
16324,vSMCs_1,RZ_FZ_P5,control
16325,healthy_CM,RZ_FZ_P5,control
16326,intermediate_CM,RZ_FZ_P5,control
16327,healthy_CM,RZ_FZ_P5,control
16328,intermediate_CM,RZ_FZ_P5,control
16329,intermediate_CM,RZ_FZ_P5,control
16330,Endocardial_Endo,RZ_FZ_P5,control
16331,healthy_CM,RZ_FZ_P5,control
16332,intermediate_CM,RZ_FZ_P5,control
16333,intermediate_CM,RZ_FZ_P5,control
16334,Capillary_Endo,RZ_FZ_P5,control
16335,Myofib,RZ_FZ_P5,control
16336,intermediate_CM,RZ_FZ_P5,control
16337,vSMCs_2,RZ_FZ_P5,control
16338,Fib_0,RZ_FZ_P5,control
16339,Myofib,RZ_FZ_P5,control
16340,Fib_0,RZ_FZ_P5,control
16341,Fib_0,RZ_FZ_P5,control
16342,intermediate_CM,RZ_FZ_P5,control
16343,Fib_0,RZ_FZ_P5,control
16344,Venous_Endo,RZ_FZ_P5,control
16345,healthy_CM,RZ_FZ_P5,control
16346,CD8,RZ_FZ_P5,control
16347,Myofib,RZ_FZ_P5,control
16348,Fib_0,RZ_FZ_P5,control
16349,Arterial_Endo,RZ_FZ_P5,control
16350,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16351,vSMCs_1,RZ_FZ_P5,control
16352,Endocardial_Endo,RZ_FZ_P5,control
16353,CCL18_Macrophages,RZ_FZ_P5,control
16354,intermediate_CM,RZ_FZ_P5,control
16355,intermediate_CM,RZ_FZ_P5,control
16356,Arterial_Endo,RZ_FZ_P5,control
16357,Pericyte_1,RZ_FZ_P5,control
16358,Capillary_Endo,RZ_FZ_P5,control
16359,Myofib,RZ_FZ_P5,control
16360,intermediate_CM,RZ_FZ_P5,control
16361,Myofib,RZ_FZ_P5,control
16362,Myofib,RZ_FZ_P5,control
16363,Fib_0,RZ_FZ_P5,control
16364,intermediate_CM,RZ_FZ_P5,control
16365,intermediate_CM,RZ_FZ_P5,control
16366,Myofib,RZ_FZ_P5,control
16367,Fib_SCARA5,RZ_FZ_P5,control
16368,Fib_0,RZ_FZ_P5,control
16369,Capillary_Endo,RZ_FZ_P5,control
16370,Fib_3,RZ_FZ_P5,control
16371,intermediate_CM,RZ_FZ_P5,control
16372,Fib_SCARA5,RZ_FZ_P5,control
16373,Arterial_Endo,RZ_FZ_P5,control
16374,Endocardial_Endo,RZ_FZ_P5,control
16375,Arterial_Endo,RZ_FZ_P5,control
16376,Arterial_Endo,RZ_FZ_P5,control
16377,Arterial_Endo,RZ_FZ_P5,control
16378,Fib_SCARA5,RZ_FZ_P5,control
16379,healthy_CM,RZ_FZ_P5,control
16380,Fib_0,RZ_FZ_P5,control
16381,healthy_CM,RZ_FZ_P5,control
16382,Arterial_Endo,RZ_FZ_P5,control
16383,Capillary_Endo,RZ_FZ_P5,control
16384,intermediate_CM,RZ_FZ_P5,control
16385,prolif,RZ_FZ_P5,control
16386,Myofib,RZ_FZ_P5,control
16387,Fib_3,RZ_FZ_P5,control
16388,Venous_Endo,RZ_FZ_P5,control
16389,Fib_SCARA5,RZ_FZ_P5,control
16390,Fib_0,RZ_FZ_P5,control
16391,Endocardial_Endo,RZ_FZ_P5,control
16392,intermediate_CM,RZ_FZ_P5,control
16393,Arterial_Endo,RZ_FZ_P5,control
16394,Pericyte_1,RZ_FZ_P5,control
16395,Myofib,RZ_FZ_P5,control
16396,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16397,Capillary_Endo,RZ_FZ_P5,control
16398,Myofib,RZ_FZ_P5,control
16399,Capillary_Endo,RZ_FZ_P5,control
16400,Lymphatic_Endo,RZ_FZ_P5,control
16401,Arterial_Endo,RZ_FZ_P5,control
16402,Myofib,RZ_FZ_P5,control
16403,LYVE_PLTP_Macrophages,RZ_FZ_P5,control
16404,Pericyte_1,RZ_FZ_P5,control
16405,intermediate_CM,RZ_FZ_P5,control
16406,intermediate_CM,RZ_FZ_P5,control
16407,healthy_CM,RZ_FZ_P5,control
16408,intermediate_CM,RZ_FZ_P5,control
16409,LYVE_PLTP_Macrophages,RZ_FZ_P5,control
16410,Capillary_Endo,RZ_FZ_P5,control
16411,Capillary_Endo,RZ_FZ_P5,control
16412,Fib_3,RZ_FZ_P5,control
16413,intermediate_CM,RZ_FZ_P5,control
16414,healthy_CM,RZ_FZ_P5,control
16415,Fib_0,RZ_FZ_P5,control
16416,healthy_CM,RZ_FZ_P5,control
16417,Monocytes,RZ_FZ_P5,control
16418,LYVE_FOLR_Macrophages,RZ_FZ_P5,control
16419,Fib_0,RZ_FZ_P5,control
16420,intermediate_CM,RZ_FZ_P5,control
16421,Fib_0,RZ_FZ_P5,control
16422,Myofib,RZ_FZ_P5,control
16423,Pericyte_1,RZ_FZ_P5,control
16424,Fib_SCARA5,RZ_FZ_P5,control
16425,Venous_Endo,RZ_FZ_P5,control
16426,intermediate_CM,RZ_FZ_P5,control
16427,Fib_3,RZ_FZ_P5,control
16428,Fib_0,RZ_FZ_P5,control
16429,CD4,RZ_FZ_P5,control
16430,Fib_3,RZ_FZ_P5,control
16431,healthy_CM,RZ_FZ_P5,control
16432,Venous_Endo,RZ_FZ_P5,control
16433,Pericyte_1,RZ_FZ_P5,control
16434,Endocardial_Endo,RZ_FZ_P5,control
16435,vSMCs_1,RZ_FZ_P5,control
16436,Lymphatic_Endo,RZ_FZ_P5,control
16437,Venous_Endo,RZ_FZ_P5,control
16438,Myofib,RZ_FZ_P5,control
16439,Monocytes,RZ_FZ_P5,control
16440,perivascular_fibroblasts,RZ_FZ_P5,control
16441,healthy_CM,RZ_FZ_P5,control
16442,intermediate_CM,RZ_FZ_P5,control
16443,Venous_Endo,RZ_FZ_P5,control
16444,Fib_0,RZ_FZ_P5,control
16445,Fib_3,RZ_FZ_P5,control
16446,healthy_CM,RZ_FZ_P5,control
16447,prolif,RZ_FZ_P5,control
16448,Myofib,RZ_FZ_P5,control
16449,healthy_CM,RZ_FZ_P5,control
16450,Myofib,RZ_FZ_P5,control
16451,Myofib,RZ_FZ_P5,control
16452,Capillary_Endo,RZ_FZ_P5,control
16453,Arterial_Endo,RZ_FZ_P5,control
16454,Capillary_Endo,RZ_FZ_P5,control
16455,Myofib,RZ_FZ_P5,control
16456,Arterial_Endo,RZ_FZ_P5,control
16457,Arterial_Endo,RZ_FZ_P5,control
16458,Capillary_Endo,RZ_FZ_P5,control
16459,Pericyte_1,RZ_FZ_P5,control
16460,Myofib,RZ_FZ_P5,control
16461,Venous_Endo,RZ_FZ_P5,control
16462,healthy_CM,RZ_FZ_P5,control
16463,damaged_CM,RZ_FZ_P5,control
16464,Capillary_Endo,RZ_FZ_P5,control
16465,intermediate_CM,RZ_FZ_P5,control
16466,damaged_CM,RZ_FZ_P5,control
16467,Myofib,RZ_FZ_P5,control
16468,Fib_SCARA5,RZ_FZ_P5,control
16469,Pericyte_2,RZ_FZ_P5,control
16470,damaged_CM,RZ_FZ_P5,control
16471,Capillary_Endo,RZ_FZ_P5,control
16472,healthy_CM,RZ_FZ_P5,control
16473,Arterial_Endo,RZ_FZ_P5,control
16474,intermediate_CM,RZ_FZ_P5,control
16475,healthy_CM,RZ_FZ_P5,control
16476,intermediate_CM,RZ_FZ_P5,control
16477,healthy_CM,RZ_BZ_P3,control
16478,Myofib,RZ_BZ_P3,control
16479,damaged_CM,RZ_BZ_P3,control
16480,prolif,RZ_BZ_P3,control
16481,Myofib,RZ_BZ_P3,control
16482,damaged_CM,RZ_BZ_P3,control
16483,Capillary_Endo,RZ_BZ_P3,control
16484,Pericyte_2,RZ_BZ_P3,control
16485,vCM_4,RZ_BZ_P3,control
16486,Fib_SCARA5,RZ_BZ_P3,control
16487,LYVE_FOLR_Macrophages,RZ_BZ_P3,control
16488,Monocytes,RZ_BZ_P3,control
16489,damaged_CM,RZ_BZ_P3,control
16490,Myofib,RZ_BZ_P3,control
16491,damaged_CM,RZ_BZ_P3,control
16492,Myofib,RZ_BZ_P3,control
16493,Neuronal,RZ_BZ_P3,control
16494,damaged_CM,RZ_BZ_P3,control
16495,intermediate_CM,RZ_BZ_P3,control
16496,Capillary_Endo,RZ_BZ_P3,control
16497,Myofib,RZ_BZ_P3,control
16498,healthy_CM,RZ_BZ_P3,control
16499,Fib_SCARA5,RZ_BZ_P3,control
16500,Myofib,RZ_BZ_P3,control
16501,Capillary_Endo,RZ_BZ_P3,control
16502,Myofib,RZ_BZ_P3,control
16503,healthy_CM,RZ_BZ_P3,control
16504,damaged_CM,RZ_BZ_P3,control
16505,LYVE_FOLR_Macrophages,RZ_BZ_P3,control
16506,Myofib,RZ_BZ_P3,control
16507,intermediate_CM,RZ_BZ_P3,control
16508,damaged_CM,RZ_BZ_P3,control
16509,Myofib,RZ_BZ_P3,control
16510,Fib_0,RZ_BZ_P3,control
16511,Fib_3,RZ_BZ_P3,control
16512,Fib_3,RZ_BZ_P3,control
16513,damaged_CM,RZ_BZ_P3,control
16514,CD4,RZ_BZ_P3,control
16515,intermediate_CM,RZ_BZ_P3,control
16516,Pericyte_1,RZ_BZ_P3,control
16517,Neuronal,RZ_BZ_P3,control
16518,Fib_SCARA5,RZ_BZ_P3,control
16519,Myofib,RZ_BZ_P3,control
16520,Myofib,RZ_BZ_P3,control
16521,damaged_CM,RZ_BZ_P3,control
16522,damaged_CM,RZ_BZ_P3,control
16523,damaged_CM,RZ_BZ_P3,control
16524,damaged_CM,RZ_BZ_P3,control
16525,healthy_CM,RZ_BZ_P3,control
16526,Fib_3,RZ_BZ_P3,control
16527,damaged_CM,RZ_BZ_P3,control
16528,intermediate_CM,RZ_BZ_P3,control
16529,Adipo,RZ_BZ_P3,control
16530,Myofib,RZ_BZ_P3,control
16531,Myofib,RZ_BZ_P3,control
16532,Venous_Endo,RZ_BZ_P3,control
16533,healthy_CM,RZ_BZ_P3,control
16534,Myofib,RZ_BZ_P3,control
16535,damaged_CM,RZ_BZ_P3,control
16536,damaged_CM,RZ_BZ_P3,control
16537,prolif,RZ_BZ_P3,control
16538,healthy_CM,RZ_BZ_P3,control
16539,Myofib,RZ_BZ_P3,control
16540,healthy_CM,RZ_BZ_P3,control
16541,Venous_Endo,RZ_BZ_P3,control
16542,vCM_3,RZ_BZ_P3,control
16543,damaged_CM,RZ_BZ_P3,control
16544,healthy_CM,RZ_BZ_P3,control
16545,healthy_CM,RZ_BZ_P3,control
16546,damaged_CM,RZ_BZ_P3,control
16547,damaged_CM,RZ_BZ_P3,control
16548,Monocytes,RZ_BZ_P3,control
16549,Myofib,RZ_BZ_P3,control
16550,Myofib,RZ_BZ_P3,control
16551,damaged_CM,RZ_BZ_P3,control
16552,Fib_0,RZ_BZ_P3,control
16553,intermediate_CM,RZ_BZ_P3,control
16554,Fib_SCARA5,RZ_BZ_P3,control
16555,Capillary_Endo,RZ_BZ_P3,control
16556,Myofib,RZ_BZ_P3,control
16557,damaged_CM,RZ_BZ_P3,control
16558,Capillary_Endo,RZ_BZ_P3,control
16559,Myofib,RZ_BZ_P3,control
16560,healthy_CM,RZ_BZ_P3,control
16561,Lymphatic_Endo,RZ_BZ_P3,control
16562,damaged_CM,RZ_BZ_P3,control
16563,Arterial_Endo,RZ_BZ_P3,control
16564,Arterial_Endo,RZ_BZ_P3,control
16565,healthy_CM,RZ_BZ_P3,control
16566,intermediate_CM,RZ_BZ_P3,control
16567,damaged_CM,RZ_BZ_P3,control
16568,Myofib,RZ_BZ_P3,control
16569,intermediate_CM,RZ_BZ_P3,control
16570,Fib_3,RZ_BZ_P3,control
16571,Arterial_Endo,RZ_BZ_P3,control
16572,NK,RZ_BZ_P3,control
16573,healthy_CM,RZ_BZ_P3,control
16574,vSMCs_1,RZ_BZ_P3,control
16575,LYVE_PLTP_Macrophages,RZ_BZ_P3,control
16576,Pericyte_1,RZ_BZ_P3,control
16577,LYVE_FOLR_Macrophages,RZ_BZ_P3,control
16578,damaged_CM,RZ_BZ_P3,control
16579,Lymphatic_Endo,RZ_BZ_P3,control
16580,Fib_3,RZ_BZ_P3,control
16581,vSMCs_1,RZ_BZ_P3,control
16582,Fib_0,RZ_BZ_P3,control
16583,Myofib,RZ_BZ_P3,control
16584,damaged_CM,RZ_BZ_P3,control
16585,intermediate_CM,RZ_BZ_P3,control
16586,intermediate_CM,RZ_BZ_P3,control
16587,perivascular_fibroblasts,RZ_BZ_P3,control
16588,Capillary_Endo,RZ_BZ_P3,control
16589,Fib_0,RZ_BZ_P3,control
16590,damaged_CM,RZ_BZ_P3,control
16591,damaged_CM,RZ_BZ_P3,control
16592,Myofib,RZ_BZ_P3,control
16593,damaged_CM,RZ_BZ_P3,control
16594,damaged_CM,RZ_BZ_P3,control
16595,Myofib,RZ_BZ_P3,control
16596,Myofib,RZ_BZ_P3,control
16597,intermediate_CM,RZ_BZ_P3,control
16598,vCM_4,RZ_BZ_P3,control
16599,Fib_SCARA5,RZ_BZ_P3,control
16600,Myofib,RZ_BZ_P3,control
16601,Myofib,RZ_BZ_P3,control
16602,Fib_SCARA5,RZ_BZ_P3,control
16603,vSMCs_2,RZ_BZ_P3,control
16604,Myofib,RZ_BZ_P3,control
16605,Fib_0,RZ_BZ_P3,control
16606,Myofib,RZ_BZ_P3,control
16607,Neuronal,RZ_BZ_P3,control
16608,Arterial_Endo,RZ_BZ_P3,control
16609,Venous_Endo,RZ_BZ_P3,control
16610,healthy_CM,RZ_BZ_P3,control
16611,damaged_CM,RZ_BZ_P3,control
16612,Myofib,RZ_BZ_P3,control
16613,damaged_CM,RZ_BZ_P3,control
16614,Myofib,RZ_BZ_P3,control
16615,Fib_SCARA5,RZ_BZ_P3,control
16616,healthy_CM,RZ_BZ_P3,control
16617,damaged_CM,RZ_BZ_P3,control
16618,damaged_CM,RZ_BZ_P3,control
16619,damaged_CM,RZ_BZ_P3,control
16620,Fib_0,RZ_BZ_P3,control
16621,intermediate_CM,RZ_BZ_P3,control
16622,Fib_0,RZ_BZ_P3,control
16623,Myofib,RZ_BZ_P3,control
16624,Myofib,RZ_BZ_P3,control
16625,healthy_CM,RZ_BZ_P3,control
16626,LYVE_PLTP_Macrophages,RZ_BZ_P3,control
16627,Myofib,RZ_BZ_P3,control
16628,LYVE_FOLR_Macrophages,RZ_BZ_P3,control
16629,intermediate_CM,RZ_BZ_P3,control
16630,Fib_0,RZ_BZ_P3,control
16631,damaged_CM,RZ_BZ_P3,control
16632,Myofib,RZ_BZ_P3,control
16633,Myofib,RZ_BZ_P3,control
16634,Myofib,RZ_BZ_P3,control
16635,LYVE_FOLR_Macrophages,RZ_BZ_P3,control
16636,healthy_CM,RZ_BZ_P3,control
16637,prolif,RZ_BZ_P3,control
16638,Monocytes,RZ_BZ_P3,control
16639,NK,RZ_BZ_P3,control
16640,LYVE_PLTP_Macrophages,RZ_BZ_P3,control
16641,Myofib,RZ_BZ_P3,control
16642,intermediate_CM,RZ_BZ_P3,control
16643,vCM_3,RZ_BZ_P3,control
16644,Fib_0,RZ_BZ_P3,control
16645,CCL18_Macrophages,RZ_BZ_P3,control
16646,Venous_Endo,RZ_BZ_P3,control
16647,vCM_4,RZ_BZ_P3,control
16648,Capillary_Endo,RZ_BZ_P3,control
16649,Myofib,RZ_BZ_P3,control
16650,Fib_0,RZ_BZ_P3,control
16651,damaged_CM,RZ_BZ_P3,control
16652,damaged_CM,RZ_BZ_P3,control
16653,healthy_CM,RZ_BZ_P3,control
16654,healthy_CM,RZ_BZ_P3,control
