Gene stable ID,HGNC ID,HGNC symbol,Gene name,Chromosome/scaffold name
ENSG00000230916,HGNC:52118,MTCO1P53,MTCO1P53,X
ENSG00000224217,HGNC:55055,PRPF4BP1,PRPF4BP1,X
ENSG00000198354,HGNC:32950,DCAF12L2,DCAF12L2,X
ENSG00000286060,,,,X
ENSG00000250995,HGNC:55058,TMEM30BP1,TMEM30BP1,X
ENSG00000236042,,,,X
ENSG00000234463,HGNC:49364,COX6CP12,COX6CP12,X
ENSG00000238049,,,,X
ENSG00000237752,HGNC:55028,NCKAP1P1,NCKAP1P1,X
ENSG00000270736,,,,X
ENSG00000189401,HGNC:32312,OTUD6A,OTUD6A,X
ENSG00000237891,HGNC:55086,UBE2V1P16,UBE2V1P16,X
ENSG00000125676,HGNC:19073,THOC2,THOC2,X
ENSG00000204271,HGNC:27272,SPIN3,SPIN3,X
ENSG00000234050,,,,X
ENSG00000230538,HGNC:32928,PNPLA10P,PNPLA10P,X
ENSG00000269904,HGNC:43837,MAP2K4P1,MAP2K4P1,X
ENSG00000234404,HGNC:52300,SPRYD7P1,SPRYD7P1,X
ENSG00000223772,HGNC:37978,GEMIN8P3,GEMIN8P3,X
ENSG00000225949,,,,X
ENSG00000078596,HGNC:6173,ITM2A,ITM2A,X
ENSG00000230956,HGNC:1489,CAPZA1P1,CAPZA1P1,X
ENSG00000235425,HGNC:35756,RPS7P13,RPS7P13,X
ENSG00000233433,HGNC:55074,CBLL1P1,CBLL1P1,X
ENSG00000102021,HGNC:24971,LUZP4,LUZP4,X
ENSG00000227234,HGNC:14329,SPANXB1,SPANXB1,X
ENSG00000181819,HGNC:29274,KCTD9P2,KCTD9P2,X
ENSG00000234176,HGNC:5245,HSPA8P1,HSPA8P1,X
ENSG00000271021,,,,X
ENSG00000225912,HGNC:36685,RPL26P36,RPL26P36,X
ENSG00000270619,,,,X
ENSG00000224701,HGNC:45081,MED28P4,MED28P4,X
ENSG00000274901,,,,X
ENSG00000166681,HGNC:13388,BEX3,BEX3,X
ENSG00000280142,,,,X
ENSG00000046774,HGNC:13574,MAGEC2,MAGEC2,X
ENSG00000233243,HGNC:33182,VKORC1P1,VKORC1P1,X
ENSG00000228532,HGNC:55054,SUMO2P21,SUMO2P21,X
ENSG00000229829,HGNC:39517,DUTP4,DUTP4,X
ENSG00000179542,HGNC:23502,SLITRK4,SLITRK4,X
ENSG00000186462,HGNC:7638,NAP1L2,NAP1L2,X
ENSG00000271502,,,,X
ENSG00000286846,,,,X
ENSG00000232149,HGNC:26443,FERP1,FERP1,X
ENSG00000214748,,,,X
ENSG00000270431,HGNC:23266,PHF5FP,PHF5FP,X
ENSG00000280275,,,,X
ENSG00000102241,HGNC:5276,HTATSF1,HTATSF1,X
ENSG00000285896,,,,X
ENSG00000123561,HGNC:11583,SERPINA7,SERPINA7,X
ENSG00000237650,HGNC:31239,OR11Q1P,OR11Q1P,X
ENSG00000225970,,,,X
ENSG00000260683,,,,X
ENSG00000235334,HGNC:51543,BTG3P1,BTG3P1,X
ENSG00000233548,HGNC:24418,CYCSP44,CYCSP44,X
ENSG00000287370,,,,X
ENSG00000235976,HGNC:54445,H2BP8,H2BP8,X
ENSG00000228160,,,,X
ENSG00000183434,HGNC:24603,TFDP3,TFDP3,X
ENSG00000173954,HGNC:29543,SNURFL,SNURFL,X
ENSG00000237475,HGNC:36831,RPL7P53,RPL7P53,X
ENSG00000276205,,,,X
ENSG00000231501,HGNC:31347,MTND4LP1,MTND4LP1,X
ENSG00000242610,HGNC:15407,OR5BH1P,OR5BH1P,X
ENSG00000236080,HGNC:38017,YAP1P2,YAP1P2,X
ENSG00000236205,,,,X
ENSG00000089289,HGNC:5461,IGBP1,IGBP1,X
ENSG00000172476,HGNC:18283,RAB40A,RAB40A,X
ENSG00000189252,HGNC:33176,SPANXN3,SPANXN3,X
ENSG00000278646,,,,X
ENSG00000285989,HGNC:53962,H2AQ1P,H2AQ1P,X
ENSG00000226031,HGNC:44264,FGF13-AS1,FGF13-AS1,X
ENSG00000226685,HGNC:33292,CT47A12,CT47A12,X
ENSG00000218728,HGNC:33414,KRT18P44,KRT18P44,X
ENSG00000235304,HGNC:50337,LINC01281,LINC01281,X
ENSG00000271175,,,,X
ENSG00000280752,HGNC:45092,LINC00850,LINC00850,X
ENSG00000287806,,,,X
ENSG00000271041,,,,X
ENSG00000233467,HGNC:55151,HAX1P1,HAX1P1,X
ENSG00000233229,HGNC:44248,CNOT7P1,CNOT7P1,X
ENSG00000232787,HGNC:14827,OR7L1P,OR7L1P,X
ENSG00000228466,HGNC:42340,TUBB4AP1,TUBB4AP1,X
ENSG00000224589,HGNC:54921,ORC1P1,ORC1P1,X
ENSG00000275508,,,,X
ENSG00000229693,HGNC:55027,SKP2P1,SKP2P1,X
ENSG00000237833,HGNC:55136,ETS2P1,ETS2P1,X
ENSG00000227303,,,,X
ENSG00000131725,HGNC:30512,WDR44,WDR44,X
ENSG00000274631,,,,X
ENSG00000157502,HGNC:26583,PWWP3B,PWWP3B,X
ENSG00000230079,HGNC:50360,STK24P1,STK24P1,X
ENSG00000286767,,,,X
ENSG00000280223,,,,X
ENSG00000235729,,,,X
ENSG00000236747,HGNC:50338,LINC01282,LINC01282,X
ENSG00000231694,,,,X
ENSG00000232549,HGNC:11286,SRD5A1P1,SRD5A1P1,X
ENSG00000230788,HGNC:55042,CTDSPL2P2,CTDSPL2P2,X
ENSG00000271826,HGNC:50343,PLS3-AS1,PLS3-AS1,X
ENSG00000231110,,,,X
ENSG00000225469,,,,X
ENSG00000237584,HGNC:31113,RAC1P4,RAC1P4,X
ENSG00000230899,HGNC:45093,MAGEA8-AS1,MAGEA8-AS1,X
ENSG00000102239,HGNC:1113,BRS3,BRS3,X
ENSG00000198881,HGNC:19763,ASB12,ASB12,X
ENSG00000230399,HGNC:39583,RBBP8P1,RBBP8P1,X
ENSG00000226929,HGNC:27397,CT47A11,CT47A11,X
ENSG00000270709,HGNC:55146,UFM1P1,UFM1P1,X
ENSG00000235274,,,,X
ENSG00000287796,,,,X
ENSG00000129682,HGNC:3670,FGF13,FGF13,X
ENSG00000288258,,,,X
ENSG00000234712,,,,X
ENSG00000229322,,,,X
ENSG00000237828,HGNC:8551,PA2G4P1,PA2G4P1,X
ENSG00000184675,HGNC:26837,AMER1,AMER1,X
ENSG00000283692,,,,X
ENSG00000156925,HGNC:12874,ZIC3,ZIC3,X
ENSG00000223995,HGNC:36547,RPL32P35,RPL32P35,X
ENSG00000270397,,,,X
ENSG00000235975,HGNC:55137,TPM2P1,TPM2P1,X
ENSG00000232496,HGNC:36298,RPL3P12,RPL3P12,X
ENSG00000270916,HGNC:51942,RPL12P50,RPL12P50,X
ENSG00000198573,HGNC:14331,SPANXC,SPANXC,X
ENSG00000189108,HGNC:5997,IL1RAPL2,IL1RAPL2,X
ENSG00000270771,,,,X
ENSG00000176970,HGNC:39493,RPL7L1P11,RPL7L1P11,X
ENSG00000203923,HGNC:33174,SPANXN1,SPANXN1,X
ENSG00000268883,HGNC:26681,PNMA6B,PNMA6B,X
ENSG00000165509,HGNC:23798,MAGEC3,MAGEC3,X
ENSG00000250625,,,,X
ENSG00000235254,HGNC:31717,TMEM185AP1,TMEM185AP1,X
ENSG00000231093,HGNC:55145,TRMT1P1,TRMT1P1,X
ENSG00000232177,HGNC:42220,MTND4P24,MTND4P24,X
ENSG00000183171,,,,X
ENSG00000232160,HGNC:40957,RAP2C-AS1,RAP2C-AS1,X
ENSG00000287017,,,,X
ENSG00000185903,HGNC:19582,OR11N1P,OR11N1P,X
ENSG00000235329,,,,X
ENSG00000276380,HGNC:31710,UBE2NL,UBE2NL,X
ENSG00000171116,HGNC:29603,HSFX1,HSFX1,X
ENSG00000182712,HGNC:35428,CMC4,CMC4,X
ENSG00000223516,HGNC:41334,AFF2-IT1,AFF2-IT1,X
ENSG00000225689,,,,X
ENSG00000270646,,,,X
ENSG00000228042,HGNC:55051,M6PRP1,M6PRP1,X
ENSG00000226064,HGNC:44071,PGBD4P6,PGBD4P6,X
ENSG00000235730,HGNC:14719,OR2AF1P,OR2AF1P,X
ENSG00000229562,HGNC:33359,ZFYVE9P1,ZFYVE9P1,X
ENSG00000156009,HGNC:6806,MAGEA8,MAGEA8,X
ENSG00000227881,HGNC:768,ASS1P5,ASS1P5,X
ENSG00000271660,,,,X
ENSG00000010404,HGNC:5389,IDS,IDS,X
ENSG00000279585,,,,X
ENSG00000224548,,,,X
ENSG00000234696,HGNC:40259,GPR50-AS1,GPR50-AS1,X
ENSG00000270251,,,,X
ENSG00000237208,,,,X
ENSG00000228517,HGNC:33288,CT47A7,CT47A7,X
ENSG00000274579,,,,X
ENSG00000213924,HGNC:48810,HNRNPH1P2,HNRNPH1P2,X
ENSG00000182195,HGNC:6548,LDOC1,LDOC1,X
ENSG00000224630,,,,X
ENSG00000214827,HGNC:7423,MTCP1,MTCP1,X
ENSG00000235539,HGNC:42082,MTND1P33,MTND1P33,X
ENSG00000011677,HGNC:4077,GABRA3,GABRA3,X
ENSG00000241489,,,,X
ENSG00000213423,HGNC:39924,RBMX2P2,RBMX2P2,X
ENSG00000224931,,,,X
ENSG00000237741,,,,X
ENSG00000185247,HGNC:6798,MAGEA11,MAGEA11,X
ENSG00000102195,HGNC:4506,GPR50,GPR50,X
ENSG00000269911,HGNC:31964,FAM226B,FAM226B,X
ENSG00000286085,,,,X
ENSG00000242186,,,,X
ENSG00000228833,,,,X
ENSG00000183981,HGNC:35154,MAGEA13P,MAGEA13P,X
ENSG00000166049,HGNC:20686,PASD1,PASD1,X
ENSG00000147255,HGNC:5948,IGSF1,IGSF1,X
ENSG00000223377,,,,X
ENSG00000241418,HGNC:49629,MCRIP2P1,MCRIP2P1,X
ENSG00000226414,HGNC:52306,MTCYBP38,MTCYBP38,X
ENSG00000232183,,,,X
ENSG00000229269,,,,X
ENSG00000224732,HGNC:6805,MAGEA7P,MAGEA7P,X
ENSG00000238039,,,,X
ENSG00000225110,HGNC:53119,PNMA6F,PNMA6F,X
ENSG00000197021,HGNC:17402,EOLA2,EOLA2,X
ENSG00000165775,HGNC:24925,FUNDC2,FUNDC2,X
ENSG00000227779,HGNC:13677,NDUFB3P5,NDUFB3P5,X
ENSG00000241769,HGNC:44265,EOLA1-DT,EOLA1-DT,X
ENSG00000214925,HGNC:55144,RPL36AP52,RPL36AP52,X
ENSG00000197620,HGNC:28089,EOLA1,EOLA1,X
ENSG00000196406,HGNC:14332,SPANXD,SPANXD,X
ENSG00000230130,HGNC:52070,MTND2P39,MTND2P39,X
ENSG00000235598,HGNC:10456,RRM2P4,RRM2P4,X
ENSG00000133135,HGNC:21153,RNF128,RNF128,X
ENSG00000269993,,,,X
ENSG00000223940,HGNC:33362,KRT8P8,KRT8P8,X
ENSG00000234748,,,,X
ENSG00000214930,HGNC:33360,KRT8P6,KRT8P6,X
ENSG00000226388,HGNC:39346,ELL2P4,ELL2P4,X
ENSG00000102243,HGNC:20985,VGLL1,VGLL1,X
ENSG00000231686,HGNC:54738,ANKRD11P2,ANKRD11P2,X
ENSG00000225660,,,,X
ENSG00000176289,HGNC:5390,IDSP1,IDSP1,X
ENSG00000155495,HGNC:6812,MAGEC1,MAGEC1,X
ENSG00000182508,HGNC:6587,LHFPL1,LHFPL1,X
ENSG00000185010,HGNC:3546,F8,F8,X
ENSG00000228717,HGNC:55156,NAB1P1,NAB1P1,X
ENSG00000215054,HGNC:48821,HNRNPCP10,HNRNPCP10,X
ENSG00000227183,HGNC:31836,HDGFP1,HDGFP1,X
ENSG00000183631,HGNC:34498,PRR32,PRR32,X
ENSG00000287394,,,,X
ENSG00000224314,HGNC:55056,TCERG1P1,TCERG1P1,X
ENSG00000271211,,,,X
ENSG00000235699,HGNC:42787,CXorf51B,CXorf51B,X
ENSG00000155966,HGNC:3776,AFF2,AFF2,X
ENSG00000198157,HGNC:8013,HMGN5,HMGN5,X
ENSG00000213652,HGNC:39333,HMGB3P30,HMGB3P30,X
ENSG00000129680,HGNC:25742,MAP7D3,MAP7D3,X
ENSG00000204086,HGNC:30305,RPA4,RPA4,X
ENSG00000198889,HGNC:29395,DCAF12L1,DCAF12L1,X
ENSG00000213526,HGNC:42927,SETP8,SETP8,X
ENSG00000230823,HGNC:38655,CBX1P1,CBX1P1,X
ENSG00000234288,HGNC:14750,OR1AA1P,OR1AA1P,X
ENSG00000182890,HGNC:4336,GLUD2,GLUD2,X
ENSG00000288098,,,,X
ENSG00000287098,,,,X
ENSG00000234592,HGNC:55129,TJAP1P1,TJAP1P1,X
ENSG00000234785,HGNC:44560,EEF1GP5,EEF1GP5,X
ENSG00000277215,HGNC:31683,SPANXA2-OT1,SPANXA2-OT1,X
ENSG00000133138,HGNC:24715,TBC1D8B,TBC1D8B,X
ENSG00000226802,HGNC:55128,RUVBL2P1,RUVBL2P1,X
ENSG00000238066,,,,X
ENSG00000214628,HGNC:52268,NDUFB5P2,NDUFB5P2,X
ENSG00000133131,HGNC:23485,MORC4,MORC4,X
ENSG00000283178,,,,X
ENSG00000256709,HGNC:55034,CSGALNACT2P2,CSGALNACT2P2,X
ENSG00000231963,,,,X
ENSG00000155959,HGNC:12662,VBP1,VBP1,X
ENSG00000123496,HGNC:5975,IL13RA2,IL13RA2,X
ENSG00000287379,,,,X
ENSG00000285547,,,,X
ENSG00000067177,HGNC:8925,PHKA1,PHKA1,X
ENSG00000102383,HGNC:20342,ZDHHC15,ZDHHC15,X
ENSG00000169306,HGNC:5996,IL1RAPL1,IL1RAPL1,X
ENSG00000271346,,,,X
ENSG00000235991,,,,X
ENSG00000232249,,,,X
ENSG00000227393,,,,X
ENSG00000238223,,,,X
ENSG00000226436,HGNC:54472,H3P43,H3P43,X
ENSG00000224978,HGNC:55159,CD84P1,CD84P1,X
ENSG00000225858,HGNC:54991,MATR3P1,MATR3P1,X
ENSG00000156920,HGNC:18992,ADGRG4,ADGRG4,X
ENSG00000235892,HGNC:44244,PKMP2,PKMP2,X
ENSG00000229979,HGNC:55157,HMGN2P48,HMGN2P48,X
ENSG00000233254,HGNC:36006,RPL21P134,RPL21P134,X
ENSG00000237994,,,,X
ENSG00000227592,HGNC:45151,PIGFP3,PIGFP3,X
ENSG00000224816,HGNC:39739,NAP1L4P2,NAP1L4P2,X
ENSG00000155961,HGNC:16499,RAB39B,RAB39B,X
ENSG00000225235,HGNC:41180,INTS6L-AS1,INTS6L-AS1,X
ENSG00000223438,,,,X
ENSG00000227505,HGNC:55149,SLIRPP1,SLIRPP1,X
ENSG00000186310,HGNC:7639,NAP1L3,NAP1L3,X
ENSG00000234161,HGNC:31845,PABPC5-AS1,PABPC5-AS1,X
ENSG00000131724,HGNC:5974,IL13RA1,IL13RA1,X
ENSG00000237860,HGNC:54530,SLC6A14P2,SLC6A14P2,X
ENSG00000189372,,,,X
ENSG00000236077,HGNC:54529,SLC6A14P1,SLC6A14P1,X
ENSG00000229145,HGNC:134,ACTBP1,ACTBP1,X
ENSG00000228855,,,,X
ENSG00000229082,HGNC:15406,OR5AW1P,OR5AW1P,X
ENSG00000147231,HGNC:25486,RADX,RADX,X
ENSG00000204019,HGNC:33494,CT83,CT83,X
ENSG00000236413,,,,X
ENSG00000229733,,,,X
ENSG00000237225,HGNC:14721,OR13K1P,OR13K1P,X
ENSG00000203926,HGNC:14328,SPANXA2,SPANXA2,X
ENSG00000207435,HGNC:47077,RNU6-114P,RNU6-114P,X
ENSG00000207628,HGNC:32907,MIR651,MIR651,X
ENSG00000252291,,,,X
ENSG00000212214,HGNC:52207,SNORA48B,SNORA48B,X
ENSG00000207151,,,Y_RNA,X
ENSG00000207320,,,Y_RNA,X
ENSG00000201660,,,,X
ENSG00000265284,HGNC:41542,MIR4770,MIR4770,X
ENSG00000263652,HGNC:43528,MIR548AX,MIR548AX,X
ENSG00000207332,HGNC:47109,RNU6-146P,RNU6-146P,X
ENSG00000239333,HGNC:46674,RN7SL658P,RN7SL658P,X
ENSG00000278218,,,,X
ENSG00000207025,,,Y_RNA,X
ENSG00000265144,HGNC:41637,MIR548AM,MIR548AM,X
ENSG00000200852,HGNC:43399,RNA5SP499,RNA5SP499,X
ENSG00000252978,HGNC:45907,RN7SKP183,RN7SKP183,X
ENSG00000206716,HGNC:47096,RNU6-133P,RNU6-133P,X
ENSG00000252486,,,Y_RNA,X
ENSG00000201666,,,,X
ENSG00000201356,HGNC:43400,RNA5SP500,RNA5SP500,X
ENSG00000264090,HGNC:43486,MIR4666B,MIR4666B,X
ENSG00000277569,HGNC:49951,MIR6134,MIR6134,X
ENSG00000206639,,,Y_RNA,X
ENSG00000206733,HGNC:47604,RNU6-641P,RNU6-641P,X
ENSG00000207122,HGNC:47554,RNU6-591P,RNU6-591P,X
ENSG00000206983,HGNC:34293,RNU6-49P,RNU6-49P,X
ENSG00000221466,HGNC:41600,MIR548AJ2,MIR548AJ2,X
ENSG00000238606,HGNC:34103,RNU7-7P,RNU7-7P,X
ENSG00000252411,HGNC:48050,RNU6-1087P,RNU6-1087P,X
ENSG00000264618,HGNC:46748,RN7SL732P,RN7SL732P,X
ENSG00000263730,HGNC:38970,MIR3937,MIR3937,X
ENSG00000238730,HGNC:45698,RNU7-164P,RNU7-164P,X
ENSG00000206896,HGNC:48087,RNU6-1124P,RNU6-1124P,X
ENSG00000212560,HGNC:47593,RNU6-630P,RNU6-630P,X
ENSG00000212347,,,,X
ENSG00000207870,HGNC:31601,MIR221,MIR221,X
ENSG00000199226,HGNC:10229,RNU6-50P,RNU6-50P,X
ENSG00000207725,HGNC:31602,MIR222,MIR222,X
ENSG00000277721,,,Metazoa_SRP,X
ENSG00000278838,,,Metazoa_SRP,X
ENSG00000200702,,,Y_RNA,X
ENSG00000202495,,,Y_RNA,X
ENSG00000221716,HGNC:32599,SNORA11,SNORA11,X
ENSG00000201341,HGNC:47384,RNU6-421P,RNU6-421P,X
ENSG00000207758,HGNC:32795,MIR532,MIR532,X
ENSG00000207768,HGNC:31559,MIR188,MIR188,X
ENSG00000207785,HGNC:32134,MIR500A,MIR500A,X
ENSG00000208015,HGNC:32022,MIR362,MIR362,X
ENSG00000211538,HGNC:32135,MIR501,MIR501,X
ENSG00000239057,HGNC:38223,MIR500B,MIR500B,X
ENSG00000207970,HGNC:32916,MIR660,MIR660,X
ENSG00000272080,HGNC:32136,MIR502,MIR502,X
ENSG00000207104,HGNC:47397,RNU6-434P,RNU6-434P,X
ENSG00000244006,HGNC:46815,RN7SL799P,RN7SL799P,X
ENSG00000284567,HGNC:31603,MIR223,MIR223,X
ENSG00000212434,,,U3,X
ENSG00000275335,HGNC:50167,MIR8088,MIR8088,X
ENSG00000266328,HGNC:43525,MIR4536-2,MIR4536-2,X
ENSG00000211991,HGNC:38880,MIR676,MIR676,X
ENSG00000199601,HGNC:47525,RNU6-562P,RNU6-562P,X
ENSG00000283334,HGNC:41730,MIR4536-1,MIR4536-1,X
ENSG00000201447,HGNC:43409,RNA5SP509,RNA5SP509,X
ENSG00000285776,,,5S_rRNA,X
ENSG00000273788,,,U3,X
ENSG00000207486,HGNC:48007,RNU6-1044P,RNU6-1044P,X
ENSG00000283622,HGNC:38280,MIR4328,MIR4328,X
ENSG00000202183,,,,X
ENSG00000222810,HGNC:48561,RNU2-68P,RNU2-68P,X
ENSG00000239745,HGNC:46806,RN7SL790P,RN7SL790P,X
ENSG00000283435,HGNC:35373,MIR1321,MIR1321,X
ENSG00000200635,,,Y_RNA,X
ENSG00000201826,HGNC:47830,RNU6-867P,RNU6-867P,X
ENSG00000222440,HGNC:48519,RNU2-26P,RNU2-26P,X
ENSG00000212495,HGNC:47295,RNU6-332P,RNU6-332P,X
ENSG00000200422,,,,X
ENSG00000277717,,,U6,X
ENSG00000201567,HGNC:43410,RNA5SP510,RNA5SP510,X
ENSG00000221187,HGNC:35331,MIR548M,MIR548M,X
ENSG00000252016,,,,X
ENSG00000283242,HGNC:31878,MIR384,MIR384,X
ENSG00000207995,HGNC:31768,MIR325,MIR325,X
ENSG00000201271,HGNC:48454,RNU1-112P,RNU1-112P,X
ENSG00000223259,HGNC:43408,RNA5SP508,RNA5SP508,X
ENSG00000199051,HGNC:31867,MIR361,MIR361,X
ENSG00000202410,,,Y_RNA,X
ENSG00000199567,,,Y_RNA,X
ENSG00000206826,HGNC:47937,RNU6-974P,RNU6-974P,X
ENSG00000212546,HGNC:47958,RNU6-995P,RNU6-995P,X
ENSG00000252810,HGNC:47308,RNU6-345P,RNU6-345P,X
ENSG00000212623,HGNC:47456,RNU6-493P,RNU6-493P,X
ENSG00000222667,HGNC:47357,RNU6-394P,RNU6-394P,X
ENSG00000252296,,,,X
ENSG00000223260,HGNC:45918,RN7SKP194,RN7SKP194,X
ENSG00000202407,,,Y_RNA,X
ENSG00000239008,,,,X
ENSG00000201443,HGNC:47272,RNU6-309P,RNU6-309P,X
ENSG00000283534,HGNC:38907,MIR374C,MIR374C,X
ENSG00000207426,,,Y_RNA,X
ENSG00000265727,HGNC:46664,RN7SL648P,RN7SL648P,X
ENSG00000277900,,,Metazoa_SRP,X
ENSG00000278421,,,,X
ENSG00000275110,,,,X
ENSG00000222122,HGNC:47611,RNU6-648P,RNU6-648P,X
ENSG00000273974,,,,X
ENSG00000265260,HGNC:46090,RN7SL74P,RN7SL74P,X
ENSG00000275254,,,,X
ENSG00000275625,,,,X
ENSG00000207820,HGNC:32531,MIR545,MIR545,X
ENSG00000271907,HGNC:52202,SNORA35B,SNORA35B,X
ENSG00000199168,HGNC:31788,MIR374A,MIR374A,X
ENSG00000212241,,,Y_RNA,X
ENSG00000277922,,,,X
ENSG00000202566,HGNC:32793,MIR421,MIR421,X
ENSG00000212027,HGNC:33665,MIR374B,MIR374B,X
ENSG00000252441,,,,X
ENSG00000239182,,,,X
ENSG00000207515,HGNC:47518,RNU6-555P,RNU6-555P,X
ENSG00000207363,,,Y_RNA,X
ENSG00000242998,HGNC:46395,RN7SL379P,RN7SL379P,X
ENSG00000206752,HGNC:48286,RNU6-1323P,RNU6-1323P,X
ENSG00000263515,HGNC:41681,MIR548AN,MIR548AN,X
ENSG00000207033,HGNC:47117,RNU6-154P,RNU6-154P,X
ENSG00000206864,HGNC:47170,RNU6-207P,RNU6-207P,X
ENSG00000265456,HGNC:38957,MIR3672,MIR3672,X
ENSG00000206862,,,Y_RNA,X
ENSG00000212321,,,U3,X
ENSG00000252930,HGNC:47978,RNU6-1015P,RNU6-1015P,X
ENSG00000207100,,,,X
ENSG00000221463,HGNC:35350,MIR1277,MIR1277,X
ENSG00000252163,HGNC:45755,RN7SKP31,RN7SKP31,X
ENSG00000207800,HGNC:32139,MIR504,MIR504,X
ENSG00000216060,HGNC:33677,MIR934,MIR934,X
ENSG00000207041,HGNC:34275,RNU6-3P,RNU6-3P,X
ENSG00000199878,HGNC:45873,RN7SKP149,RN7SKP149,X
ENSG00000201594,HGNC:43417,RNA5SP517,RNA5SP517,X
ENSG00000201000,HGNC:43416,RNA5SP516,RNA5SP516,X
ENSG00000207866,HGNC:32149,MIR514A2,MIR514A2,X
ENSG00000207868,HGNC:32148,MIR514A1,MIR514A1,X
ENSG00000202473,HGNC:45805,RN7SKP81,RN7SKP81,X
ENSG00000221081,HGNC:35388,MIR320D2,MIR320D2,X
ENSG00000239579,HGNC:46341,RN7SL325P,RN7SL325P,X
ENSG00000252219,HGNC:50194,MIR892C,MIR892C,X
ENSG00000207867,HGNC:32150,MIR514A3,MIR514A3,X
ENSG00000216075,HGNC:33644,MIR890,MIR890,X
ENSG00000222114,HGNC:47948,RNU6-985P,RNU6-985P,X
ENSG00000216005,HGNC:33648,MIR888,MIR888,X
ENSG00000215943,HGNC:33639,MIR892A,MIR892A,X
ENSG00000216098,HGNC:33649,MIR892B,MIR892B,X
ENSG00000216064,HGNC:33645,MIR891B,MIR891B,X
ENSG00000202199,HGNC:48457,RNU1-115P,RNU1-115P,X
ENSG00000207641,HGNC:32147,MIR510,MIR510,X
ENSG00000216056,HGNC:33635,MIR891A,MIR891A,X
ENSG00000199424,,,Y_RNA,X
ENSG00000265789,HGNC:38273,MIR4330,MIR4330,X
ENSG00000278724,,,Metazoa_SRP,X
ENSG00000222313,HGNC:45991,RN7SKP267,RN7SKP267,X
ENSG00000201912,HGNC:45913,RN7SKP189,RN7SKP189,X
ENSG00000212595,HGNC:53794,RNA5SP525,RNA5SP525,X
ENSG00000252205,HGNC:47727,RNU6-764P,RNU6-764P,X
ENSG00000216171,HGNC:33934,MIR513C,MIR513C,X
ENSG00000207871,HGNC:33935,MIR513B,MIR513B,X
ENSG00000207957,HGNC:31492,MIR105-1,MIR105-1,X
ENSG00000207873,HGNC:32141,MIR513A1,MIR513A1,X
ENSG00000211583,HGNC:33136,MIR767,MIR767,X
ENSG00000207984,HGNC:32142,MIR513A2,MIR513A2,X
ENSG00000207818,HGNC:31493,MIR105-2,MIR105-2,X
ENSG00000207731,HGNC:32143,MIR506,MIR506,X
ENSG00000207969,HGNC:32144,MIR507,MIR507,X
ENSG00000207589,HGNC:32145,MIR508,MIR508,X
ENSG00000252583,HGNC:38292,MIR514B,MIR514B,X
ENSG00000212013,HGNC:33641,MIR509-2,MIR509-2,X
ENSG00000212014,HGNC:33675,MIR509-3,MIR509-3,X
ENSG00000208000,HGNC:32146,MIR509-1,MIR509-1,X
ENSG00000202051,HGNC:47345,RNU6-382P,RNU6-382P,X
ENSG00000237623,HGNC:18322,NICN2P,NICN2P,X
ENSG00000266158,HGNC:46801,RN7SL785P,RN7SL785P,X
ENSG00000203402,,,,X
ENSG00000221459,HGNC:33621,SNORA11C,SNORA11C,X
ENSG00000232009,,,,X
ENSG00000226556,HGNC:45228,NPM1P49,NPM1P49,X
ENSG00000277605,,,Metazoa_SRP,X
ENSG00000196741,HGNC:27333,LINC01560,LINC01560,X
ENSG00000235636,HGNC:38472,NUS1P1,NUS1P1,X
ENSG00000008056,HGNC:11494,SYN1,SYN1,X
ENSG00000283743,,,,X
ENSG00000263858,HGNC:41694,MIR4769,MIR4769,X
ENSG00000126767,HGNC:3321,ELK1,ELK1,X
ENSG00000126756,HGNC:12641,UXT,UXT,X
ENSG00000267064,HGNC:49239,UXT-AS1,UXT-AS1,X
ENSG00000224656,HGNC:54952,SMSP1,SMSP1,X
ENSG00000229968,,,,X
ENSG00000188459,HGNC:20801,WASF4P,WASF4P,X
ENSG00000224401,HGNC:35901,RPL7P57,RPL7P57,X
ENSG00000102265,HGNC:11820,TIMP1,TIMP1,X
ENSG00000147130,HGNC:13054,ZMYM3,ZMYM3,X
ENSG00000147166,HGNC:6154,ITGB1BP2,ITGB1BP2,X
ENSG00000224208,HGNC:54987,ZCRB1P1,ZCRB1P1,X
ENSG00000213706,HGNC:54953,RHOG2P,RHOG2P,X
ENSG00000275975,,,Metazoa_SRP,X
ENSG00000229601,,,,X
ENSG00000213018,HGNC:54988,PABPN1P1,PABPN1P1,X
ENSG00000199751,,,Y_RNA,X
ENSG00000243468,HGNC:6064,INGX,INGX,X
ENSG00000215120,HGNC:54990,SOCS6P1,SOCS6P1,X
ENSG00000186810,HGNC:4540,CXCR3,CXCR3,X
ENSG00000155962,HGNC:2063,CLIC2,CLIC2,X
ENSG00000225008,HGNC:21737,TWF1P2,TWF1P2,X
ENSG00000228986,HGNC:23210,PHF10P1,PHF10P1,X
ENSG00000230491,HGNC:55160,SRD5A2P1,SRD5A2P1,X
ENSG00000224216,,,,X
ENSG00000221190,HGNC:38211,MIR1184-2,MIR1184-2,X
ENSG00000221603,HGNC:38389,MIR1184-3,MIR1184-3,X
ENSG00000277745,HGNC:14455,H2AB3,H2AB3,X
ENSG00000224533,HGNC:44261,TMLHE-AS1,TMLHE-AS1,X
ENSG00000225393,,,,X
ENSG00000185973,HGNC:18308,TMLHE,TMLHE,X
